Ticker,Timestamp,Open,High,Low,Close,Volume
AAPL,2025-04-21 13:30:00+00:00,193.35000610351562,193.75999450683594,192.3800048828125,193.13999938964844,3867399.0
TSLA,2025-04-21 13:30:00+00:00,229.5,232.2100067138672,227.24000549316406,228.6300048828125,13168368.0
MSFT,2025-04-21 13:30:00+00:00,363.1199951171875,364.4800109863281,362.5,362.92999267578125,1111865.0
AMZN,2025-04-21 13:30:00+00:00,169.52999877929688,169.5749969482422,167.88999938964844,167.96499633789062,4882096.0
GOOGL,2025-04-21 13:30:00+00:00,148.9149932861328,148.92999267578125,147.82000732421875,148.27499389648438,2245774.0
TSLA,2025-04-21 13:45:00+00:00,228.6300048828125,229.5800018310547,225.61000061035156,225.78359985351562,5828545.0
MSFT,2025-04-21 13:45:00+00:00,362.94500732421875,363.29998779296875,361.0199890136719,361.0299987792969,675581.0
AMZN,2025-04-21 13:45:00+00:00,167.9600067138672,168.12950134277344,166.9499969482422,167.10000610351562,2718486.0
AAPL,2025-04-21 13:45:00+00:00,193.13499450683594,193.7100067138672,192.4499969482422,192.49949645996094,1585534.0
GOOGL,2025-04-21 13:45:00+00:00,148.27000427246094,148.5,147.10000610351562,147.11500549316406,1096035.0
GOOGL,2025-04-21 14:00:00+00:00,147.05999755859375,147.82000732421875,146.8699951171875,147.7899932861328,783312.0
TSLA,2025-04-21 14:00:00+00:00,225.75,226.02000427246094,223.6699981689453,225.4600067138672,6127599.0
AMZN,2025-04-21 14:00:00+00:00,167.0800018310547,167.13999938964844,165.94000244140625,166.61000061035156,2319868.0
MSFT,2025-04-21 14:00:00+00:00,361.010009765625,361.04998779296875,359.8196105957031,360.1199951171875,717033.0
AAPL,2025-04-21 14:00:00+00:00,192.4499969482422,192.5800018310547,191.36000061035156,192.4105987548828,1958645.0
GOOGL,2025-04-21 14:15:00+00:00,147.7899932861328,147.8300018310547,147.27000427246094,147.6199951171875,921004.0
AMZN,2025-04-21 14:15:00+00:00,166.61000061035156,166.75999450683594,165.85000610351562,166.13999938964844,1969502.0
MSFT,2025-04-21 14:15:00+00:00,360.0899963378906,360.42999267578125,359.55999755859375,360.239990234375,676238.0
AAPL,2025-04-21 14:15:00+00:00,192.41000366210938,192.64999389648438,191.7100067138672,192.1199951171875,1451271.0
TSLA,2025-04-21 14:15:00+00:00,225.49000549316406,225.74000549316406,223.89999389648438,225.00999450683594,3952325.0
AMZN,2025-04-21 14:30:00+00:00,166.13999938964844,167.0299072265625,165.94000244140625,166.61000061035156,1749564.0
GOOGL,2025-04-21 14:30:00+00:00,147.60499572753906,148.05160522460938,147.5399932861328,147.58999633789062,690813.0
MSFT,2025-04-21 14:30:00+00:00,360.2200012207031,361.5299987792969,359.8800048828125,360.54998779296875,474797.0
AAPL,2025-04-21 14:30:00+00:00,192.11000061035156,192.49000549316406,191.6199951171875,191.9154052734375,1041965.0
TSLA,2025-04-21 14:30:00+00:00,225.00999450683594,226.85000610351562,224.50999450683594,225.47000122070312,3798884.0
TSLA,2025-04-21 14:45:00+00:00,225.41000366210938,225.86000061035156,224.5157012939453,225.60000610351562,2790860.0
GOOGL,2025-04-21 14:45:00+00:00,147.5800018310547,147.77000427246094,147.44500732421875,147.58999633789062,666833.0
AAPL,2025-04-21 14:45:00+00:00,191.92999267578125,192.0050048828125,191.27000427246094,191.4949951171875,1199829.0
MSFT,2025-04-21 14:45:00+00:00,360.6000061035156,360.8949890136719,359.79998779296875,360.0849914550781,431498.0
AMZN,2025-04-21 14:45:00+00:00,166.6199951171875,167.3699951171875,166.52000427246094,167.26499938964844,1458374.0
TSLA,2025-04-21 15:00:00+00:00,225.6291961669922,226.1999053955078,224.02999877929688,224.10000610351562,2858178.0
GOOGL,2025-04-21 15:00:00+00:00,147.61000061035156,147.72999572753906,147.21499633789062,147.25,592375.0
